frameNumber initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea_1 centroidX_1 controidY_1 blobArea_2 centroidX_2 controidY_2 blobArea_3 centroidX_3 controidY_3
4 12 333 518 560 563 1 5 462.777771 121.555557 0 0 0 0 0 0
8 31 342 511 556 558 1 4 462.500000 121.500000 0 0 0 0 0 0
12 12 325 494 537 540 0 0 0 0 0 0 0 0 0 0
16 19 333 501 544 546 0 0 0 0 0 0 0 0 0 0
20 12 328 496 540 543 3 4 462.500000 121.500000 4 462.500000 121.500000 4 462.500000 121.500000
24 12 327 494 537 539 0 0 0 0 0 0 0 0 0 0
28 18 329 498 542 544 0 0 0 0 0 0 0 0 0 0
32 12 326 493 536 538 0 0 0 0 0 0 0 0 0 0
36 13 329 497 541 544 0 0 0 0 0 0 0 0 0 0
40 15 335 503 545 548 0 0 0 0 0 0 0 0 0 0
44 12 325 493 536 538 0 0 0 0 0 0 0 0 0 0
48 12 324 491 535 538 0 0 0 0 0 0 0 0 0 0
52 16 334 500 543 545 0 0 0 0 0 0 0 0 0 0
56 12 328 495 537 540 0 0 0 0 0 0 0 0 0 0
60 10 325 491 534 537 0 0 0 0 0 0 0 0 0 0
64 16 331 500 543 545 0 0 0 0 0 0 0 0 0 0
68 12 327 495 537 540 0 0 0 0 0 0 0 0 0 0
72 12 324 493 538 540 0 0 0 0 0 0 0 0 0 0
76 17 333 500 543 545 0 0 0 0 0 0 0 0 0 0
80 13 326 493 537 539 0 0 0 0 0 0 0 0 0 0
84 12 324 492 536 539 0 0 0 0 0 0 0 0 0 0
88 18 336 503 546 548 0 0 0 0 0 0 0 0 0 0
92 12 328 495 537 540 0 0 0 0 0 0 0 0 0 0
96 15 329 496 539 542 0 0 0 0 0 0 0 0 0 0
100 16 329 496 540 542 0 0 0 0 0 0 0 0 0 0
104 12 326 493 536 538 0 0 0 0 0 0 0 0 0 0
108 13 324 493 538 541 0 0 0 0 0 0 0 0 0 0
112 16 331 499 542 544 0 0 0 0 0 0 0 0 0 0
116 14 327 496 540 542 0 0 0 0 0 0 0 0 0 0
120 12 323 491 535 537 0 0 0 0 0 0 0 0 0 0
124 17 336 504 548 550 0 0 0 0 0 0 0 0 0 0
128 15 329 496 539 541 0 0 0 0 0 0 0 0 0 0
132 12 325 493 537 539 0 0 0 0 0 0 0 0 0 0
136 15 329 496 539 541 0 0 0 0 0 0 0 0 0 0
140 13 326 494 536 539 0 0 0 0 0 0 0 0 0 0
144 12 323 490 536 538 0 0 0 0 0 0 0 0 0 0
148 16 332 499 542 545 0 0 0 0 0 0 0 0 0 0
152 13 325 492 535 537 0 0 0 0 0 0 0 0 0 0
156 14 329 499 542 544 0 0 0 0 0 0 0 0 0 0
160 16 333 503 548 550 0 0 0 0 0 0 0 0 0 0
164 12 330 498 541 543 1 13 625.866638 360.600006 0 0 0 0 0 0
168 13 332 500 543 546 1 11 589.564087 379.820526 0 0 0 0 0 0
172 14 327 494 537 539 2 13 589.133362 380.866669 13 589.133362 380.866669 0 0 0
176 13 328 496 539 542 2 17 548.078430 391.549011 17 548.078430 391.549011 0 0 0
180 12 324 492 537 539 2 14 548.099976 391.933319 14 548.099976 391.933319 0 0 0
184 17 333 499 543 545 2 12 536.833313 384.444458 12 536.833313 384.444458 0 0 0
188 14 329 495 538 541 1 11 519.403503 383.491241 0 0 0 0 0 0
192 15 325 492 535 538 1 10 519.142883 383.785706 0 0 0 0 0 0
196 17 335 505 549 551 2 13 508.706665 384.679993 13 508.706665 384.679993 0 0 0
200 14 327 493 536 539 2 14 482.807678 391.217957 14 482.807678 391.217957 0 0 0
204 13 327 493 536 539 2 15 477.456146 389.631592 15 477.456146 389.631592 0 0 0
208 16 331 498 541 544 2 17 468.929810 384.385956 17 468.929810 384.385956 0 0 0
212 12 332 502 546 549 1 13 456.289856 385.840576 0 0 0 0 0 0
216 38 356 529 574 577 1 13 456.315796 385.912292 0 0 0 0 0 0
220 16 334 504 548 550 1 21 443.111115 390.577789 0 0 0 0 0 0
224 13 335 505 549 552 1 18 440.649994 390.200012 0 0 0 0 0 0
228 18 341 514 557 560 1 17 430.959991 393.880005 0 0 0 0 0 0
232 10 323 491 534 537 1 13 431.117645 393.901947 0 0 0 0 0 0
236 13 326 496 539 542 2 16 424.066681 394.299988 16 424.066681 394.299988 0 0 0
240 15 330 497 540 542 1 24 420.875000 394.375000 0 0 0 0 0 0
244 15 328 496 539 542 1 19 421.098755 394.172852 0 0 0 0 0 0
248 14 330 497 539 542 1 14 420.875000 394.583344 0 0 0 0 0 0
252 14 330 496 539 542 1 24 421.230774 394.923065 0 0 0 0 0 0
256 16 329 496 539 541 1 17 421.450989 395.019623 0 0 0 0 0 0
260 13 326 493 537 539 1 11 421.017548 394.807007 0 0 0 0 0 0
264 12 327 495 538 541 1 10 421.200012 395.133331 0 0 0 0 0 0
268 15 327 495 538 541 1 9 421.733337 395.466675 0 0 0 0 0 0
272 21 332 499 543 545 1 4 422.500000 395.500000 0 0 0 0 0 0
276 13 326 492 535 538 1 4 422.500000 395.500000 0 0 0 0 0 0
280 16 328 499 543 545 1 3 422.666656 395.333344 0 0 0 0 0 0
