initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
4 315 483 526 538 0 NULL NULL NULL
56 361 529 572 582 0 NULL NULL NULL
12 319 487 531 541 0 NULL NULL NULL
9 316 486 529 540 0 NULL NULL NULL
13 326 496 539 550 1 126 155.292099 254.298965
9 321 489 532 541 1 96 111.413506 438.666656
10 322 491 534 545 1 83 238.120880 257.194153
8 319 488 532 542 1 36 238.576920 265.769226
8 320 488 531 540 1 40 97.619049 382.285706
13 329 497 541 553 1 16 235.500000 241.000000
12 324 492 534 543 0 NULL NULL NULL
12 320 492 535 546 0 NULL NULL NULL
7 316 483 526 537 0 NULL NULL NULL
16 323 493 536 546 0 NULL NULL NULL
10 318 489 533 544 0 NULL NULL NULL
10 322 489 532 543 0 NULL NULL NULL
9 319 487 530 541 1 123 157.795761 258.088623
10 320 491 536 547 1 119 158.109970 253.271484
6 317 488 532 543 1 60 108.396172 419.303284
10 327 497 540 551 1 12 339.000000 461.100006
5 309 476 519 529 1 22 113.333336 339.833344
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
6 320 489 532 544 1 106 241.758453 252.536224
50 361 532 576 587 1 96 242.329453 253.604645
22 335 506 550 559 1 58 286.071442 341.363098
14 326 494 538 550 1 56 287.388885 341.620361
8 318 488 532 543 1 22 118.000000 333.944458
8 319 489 532 543 1 22 117.400002 334.299988
14 326 495 538 548 1 18 115.000000 335.500000
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
5 317 487 531 541 0 NULL NULL NULL
46 349 517 560 569 1 31 309.608704 224.872467
13 327 496 539 549 1 39 309.547333 225.094650
8 318 485 528 539 1 10 307.916656 228.166672
9 320 488 531 541 1 4 310.500000 220.500000
12 320 487 530 540 0 NULL NULL NULL
8 319 487 530 541 0 NULL NULL NULL
9 315 485 529 537 0 NULL NULL NULL
15 321 489 532 543 0 NULL NULL NULL
15 321 488 533 543 0 NULL NULL NULL
15 319 488 531 542 0 NULL NULL NULL
8 322 491 534 544 0 NULL NULL NULL
14 324 493 536 547 1 34 310.992432 225.018936
9 320 487 530 541 1 28 311.552094 224.854172
11 320 487 530 541 1 27 311.821136 224.227646
16 329 500 543 553 1 22 312.314819 225.444443
5 312 481 524 534 0 NULL NULL NULL
6 314 481 525 534 0 NULL NULL NULL
5 312 481 524 535 0 NULL NULL NULL
12 320 488 531 542 0 NULL NULL NULL
6 314 483 527 535 0 NULL NULL NULL
12 321 489 531 542 0 NULL NULL NULL
5 312 480 523 534 0 NULL NULL NULL
13 324 494 537 546 1 17 289.407410 292.925934
5 316 484 527 538 1 3 293.333344 238.333328
6 315 483 527 535 0 NULL NULL NULL
6 316 488 532 543 0 NULL NULL NULL
6 316 485 529 540 0 NULL NULL NULL
9 320 491 534 545 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
1 314 488 532 541 0 NULL NULL NULL
1 319 493 537 546 0 NULL NULL NULL
19 336 510 556 567 0 NULL NULL NULL
11 330 502 547 558 0 NULL NULL NULL
11 323 493 536 547 0 NULL NULL NULL
6 321 493 537 548 0 NULL NULL NULL
2 314 484 528 538 0 NULL NULL NULL
1 312 484 528 537 0 NULL NULL NULL
3 320 492 536 547 0 NULL NULL NULL
17 331 502 546 557 0 NULL NULL NULL
2 316 488 533 542 0 NULL NULL NULL
4 317 488 532 542 0 NULL NULL NULL
4 316 487 531 542 0 NULL NULL NULL
4 316 486 530 541 0 NULL NULL NULL
5 317 488 532 543 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 318 489 533 543 0 NULL NULL NULL
55 374 551 608 624 1 123 149.299744 258.940582
20 346 516 561 570 1 44 325.622925 469.116669
